2.222222222222221960e-02, 3.608635847723281586e+03, 1.146277388741407748e+02, 7.133333333333333748e+00, 5.069733873774228128e-01, 2.245545736927496819e+03, 2.469199610410262551e+02, 3.522912886960484761e-09, 7.555896661913006484e-09, 1.393333333333333357e+01, 3.968430402484826036e+00, 2.746868408336929406e+02, 1.706142887298045707e+01, 6.537707722324749842e-05, 1.993746097899540582e-05
3.333333333333333287e-02, 1.664212112701244223e+03, 6.823594482028236996e+01, 7.266666666666666607e+00, 5.719431167778471492e-01, 1.710010798196448150e+03, 2.306356086510247394e+02, 9.715808853087356242e-07, 2.071067726112486808e-06, 1.880000000000000071e+01, 5.170416841769269745e+00, 2.629917908873206898e+02, 1.844852937233270396e+01, 6.764110274628115378e-05, 2.629061079739856415e-05
5.000000000000000278e-02, 7.294556108878218765e+02, 2.819668648027972679e+01, 7.266666666666666607e+00, 9.234964963302272345e-01, 1.186396347811757778e+03, 9.592823485568655428e+01, 8.278837659644646932e-08, 1.101997149885793415e-07, 1.633333333333333215e+01, 4.089136159592814401e+00, 2.548685804740059382e+02, 2.300240584986216774e+01, 7.494058900694294811e-05, 2.615192262348516679e-05
7.499999999999999722e-02, 3.325286629950390989e+02, 1.250273204012078310e+01, 7.000000000000000000e+00, 7.250702379112295981e-01, 8.052888721852740446e+02, 9.424220293105510393e+01, 1.047829746372621293e-06, 2.132637792346107405e-06, 1.386666666666666714e+01, 2.638188649773399064e+00, 2.389517593632976684e+02, 1.282975817177205080e+01, 5.715827018970253142e-05, 1.804260030074848964e-05
1.125000000000000028e-01, 1.385185181711567282e+02, 5.428377240920269742e+00, 7.533333333333333215e+00, 8.847309565136658449e-01, 3.614728378996019842e+02, 4.437251546756147036e+01, 1.861844243129957415e-05, 1.573740862748488183e-05, 1.493333333333333357e+01, 4.793452205410499545e+00, 2.024198444289304746e+02, 1.420635708555428423e+01, 8.148030433325764981e-05, 2.946792412130472190e-05
1.687500000000000111e-01, 6.415375772474992289e+01, 2.933379432186228541e+00, 7.533333333333333215e+00, 6.574680971807588259e-01, 1.877964114036220735e+02, 2.581740572764044828e+01, 3.281452917805923597e-05, 2.662551799065336110e-05, 1.519999999999999929e+01, 4.446046508575313361e+00, 1.344398911799520420e+02, 1.363173256749055895e+01, 8.744576935602784698e-05, 2.609754460618971572e-05
2.531249999999999889e-01, 2.866553050744342812e+01, 9.442244255311210699e-01, 9.533333333333333215e+00, 1.288006320606126076e+00, 8.353567689859806933e+01, 1.269823099853138260e+01, 4.692195164002765793e-05, 3.577022243544579971e-05, 1.873333333333333428e+01, 5.649295575019400495e+00, 8.513125068200902490e+01, 1.074147705188346968e+01, 7.200773454990038749e-05, 1.695132864524949044e-05
3.796875000000000111e-01, 1.278662264025528472e+01, 5.286031953594938493e-01, 1.486666666666666714e+01, 2.493042247488318264e+00, 3.499133254832677409e+01, 5.521273798053060844e+00, 6.384784822755691929e-05, 5.874297630293563900e-05, 1.760000000000000142e+01, 8.245316477057501814e+00, 4.959994240989095005e+01, 6.913240149314400895e+00, 1.081161668119260815e-04, 2.779046599134977561e-05
5.695312500000000444e-01, 5.654226041578586326e+00, 2.582041155464058213e-01, 7.361538461538461320e+01, 2.535700094518601944e+01, 1.378341837897518118e+01, 1.626693108396537024e+00, 2.334424136873569590e-04, 1.922964906201017588e-04, 3.190909090909091006e+01, 1.181106405531217440e+01, 2.683733121192032200e+01, 4.605650825350483757e+00, 1.659790469195509990e-04, 3.204296441388326908e-05
8.542968749999999556e-01, 2.490467332090787078e+00, 9.974055502383261107e-02, nan, nan, 6.841113098817191762e+00, 9.622200474347873955e-01, 6.352144819645003668e-04, 5.364912137773139361e-04, 3.785714285714285410e+01, 3.151010027594016805e+01, 1.011253959632847099e+01, 1.006765472144893314e+00, 5.239935990263658869e-04, 1.829761247067474559e-04
1.281445312500000044e+00, 1.078558985066887299e+00, 4.861066872699997682e-02, nan, nan, 3.327850818737863481e+00, 4.514540622326632113e-01, 1.531689501287569755e-03, 1.355015721007281218e-03, 3.600000000000000000e+01, nan, 4.874847388631308398e+00, 1.058657305645184454e+00, 1.006902052892074241e-03, 3.262868843695023390e-04
